place,5/13/20,5/14/20,5/15/20,5/16/20,5/17/20,5/18/20,5/19/20,5/20/20,5/21/20,5/22/20,5/23/20,5/24/20,5/25/20,5/26/20,5/27/20,5/28/20,5/29/20,5/30/20,5/31/20,6/1/20,6/2/20,6/3/20,6/4/20,6/5/20,6/6/20,6/7/20,6/8/20,6/9/20,6/10/20,6/11/20,6/12/20,6/13/20,6/14/20,6/15/20,6/16/20,6/17/20,6/18/20,6/19/20,6/20/20,6/21/20,6/22/20,6/23/20,6/24/20,6/25/20,6/26/20,6/27/20,6/28/20,6/29/20
World,297197.0 +/- 0.0,301327.8 +/- 440.9,305332.6 +/- 894.1,309211.5 +/- 1363.5,312965.0 +/- 1848.4,316593.8 +/- 2347.6,320098.6 +/- 2860.0,323480.5 +/- 3384.7,326740.8 +/- 3920.3,329880.8 +/- 4465.8,332902.1 +/- 5020.0,335806.6 +/- 5581.5,338596.0 +/- 6149.2,341272.4 +/- 6721.9,343838.0 +/- 7298.3,346295.0 +/- 7877.3,348645.9 +/- 8457.5,350893.1 +/- 9037.9,353039.1 +/- 9617.2,355086.5 +/- 10194.5,357038.1 +/- 10768.5,358896.6 +/- 11338.3,360664.8 +/- 11902.8,362345.4 +/- 12461.2,363941.4 +/- 13012.5,365455.5 +/- 13555.9,366890.6 +/- 14090.6,368249.5 +/- 14615.9,369535.1 +/- 15131.1,370750.2 +/- 15635.5,371897.5 +/- 16128.7,372979.9 +/- 16610.2,374000.0 +/- 17079.4,374960.6 +/- 17536.0,375864.2 +/- 17979.7,376713.5 +/- 18410.3,377510.9 +/- 18827.4,378258.9 +/- 19231.0,378960.0 +/- 19620.9,379616.4 +/- 19997.0,380230.4 +/- 20359.4,380804.3 +/- 20708.0,381340.1 +/- 21043.0,381840.0 +/- 21364.3,382305.8 +/- 21672.2,382739.5 +/- 21966.8,383143.0 +/- 22248.4,383518.0 +/- 22517.1
Rest of World,297197.0 +/- 0.0,301327.8 +/- 440.9,305332.6 +/- 894.1,309211.5 +/- 1363.5,312965.0 +/- 1848.4,316593.8 +/- 2347.6,320098.6 +/- 2860.0,323480.5 +/- 3384.7,326740.8 +/- 3920.3,329880.8 +/- 4465.8,332902.1 +/- 5020.0,335806.6 +/- 5581.5,338596.0 +/- 6149.2,341272.4 +/- 6721.9,343838.0 +/- 7298.3,346295.0 +/- 7877.3,348645.9 +/- 8457.5,350893.1 +/- 9037.9,353039.1 +/- 9617.2,355086.5 +/- 10194.5,357038.1 +/- 10768.5,358896.6 +/- 11338.3,360664.8 +/- 11902.8,362345.4 +/- 12461.2,363941.4 +/- 13012.5,365455.5 +/- 13555.9,366890.6 +/- 14090.6,368249.5 +/- 14615.9,369535.1 +/- 15131.1,370750.2 +/- 15635.5,371897.5 +/- 16128.7,372979.9 +/- 16610.2,374000.0 +/- 17079.4,374960.6 +/- 17536.0,375864.2 +/- 17979.7,376713.5 +/- 18410.3,377510.9 +/- 18827.4,378258.9 +/- 19231.0,378960.0 +/- 19620.9,379616.4 +/- 19997.0,380230.4 +/- 20359.4,380804.3 +/- 20708.0,381340.1 +/- 21043.0,381840.0 +/- 21364.3,382305.8 +/- 21672.2,382739.5 +/- 21966.8,383143.0 +/- 22248.4,383518.0 +/- 22517.1
America,91878.0 +/- 0.0,93542.5 +/- 231.7,95164.9 +/- 471.7,96744.9 +/- 723.4,98282.3 +/- 986.5,99777.0 +/- 1260.6,101228.8 +/- 1545.1,102638.0 +/- 1839.7,104004.5 +/- 2143.8,105328.5 +/- 2456.7,106610.3 +/- 2778.0,107850.2 +/- 3107.0,109048.5 +/- 3443.0,110205.6 +/- 3785.4,111322.0 +/- 4133.5,112398.3 +/- 4486.6,113434.9 +/- 4844.0,114432.5 +/- 5205.0,115391.8 +/- 5568.9,116313.4 +/- 5935.0,117198.1 +/- 6302.6,118046.7 +/- 6671.1,118859.8 +/- 7039.7,119638.4 +/- 7407.9,120383.3 +/- 7774.9,121095.3 +/- 8140.1,121775.3 +/- 8503.0,122424.3 +/- 8863.0,123043.0 +/- 9219.5,123632.4 +/- 9571.9,124193.4 +/- 9920.0,124727.0 +/- 10263.0,125234.0 +/- 10600.7,125715.4 +/- 10932.5,126172.0 +/- 11258.2,126604.8 +/- 11577.4,127014.7 +/- 11889.8,127402.5 +/- 12195.1,127769.1 +/- 12493.0,128115.5 +/- 12783.3,128442.4 +/- 13065.9,128750.6 +/- 13340.6,129041.1 +/- 13607.3,129314.5 +/- 13865.8,129571.7 +/- 14116.1,129813.4 +/- 14358.2,130040.4 +/- 14591.9,130253.3 +/- 14817.4
US,84119.0 +/- 0.0,85193.1 +/- 170.2,86215.5 +/- 342.4,87187.3 +/- 519.2,88109.4 +/- 699.9,88983.1 +/- 883.9,89809.5 +/- 1070.3,90590.0 +/- 1258.5,91325.9 +/- 1447.7,92018.8 +/- 1637.3,92670.0 +/- 1826.6,93281.2 +/- 2014.9,93853.9 +/- 2201.6,94389.6 +/- 2386.1,94890.0 +/- 2568.0,95356.6 +/- 2746.6,95791.1 +/- 2921.6,96195.0 +/- 3092.4,96569.8 +/- 3258.8,96917.2 +/- 3420.4,97238.5 +/- 3577.0,97535.4 +/- 3728.2,97809.2 +/- 3873.8,98061.3 +/- 4013.8,98293.0 +/- 4148.0,98505.8 +/- 4276.3,98700.7 +/- 4398.7,98879.1 +/- 4515.2,99042.1 +/- 4625.8,99190.7 +/- 4730.5,99326.0 +/- 4829.4,99449.1 +/- 4922.8,99560.8 +/- 5010.5,99662.1 +/- 5092.9,99753.7 +/- 5170.1,99836.5 +/- 5242.2,99911.2 +/- 5309.4,99978.4 +/- 5371.9,100038.9 +/- 5430.0,100093.2 +/- 5483.8,100141.8 +/- 5533.6,100185.4 +/- 5579.5,100224.3 +/- 5621.8,100259.0 +/- 5660.6,100289.9 +/- 5696.3,100317.4 +/- 5728.9,100341.8 +/- 5758.7,100363.5 +/- 5785.8
Europe,118726.0 +/- 0.0,119635.3 +/- 91.3,120497.6 +/- 177.5,121314.4 +/- 263.5,122087.0 +/- 349.0,122817.1 +/- 433.9,123506.0 +/- 518.0,124155.2 +/- 601.0,124766.4 +/- 682.8,125340.9 +/- 763.3,125880.4 +/- 842.2,126386.3 +/- 919.4,126860.1 +/- 994.9,127303.4 +/- 1068.4,127717.5 +/- 1139.9,128103.9 +/- 1209.3,128464.1 +/- 1276.5,128799.3 +/- 1341.4,129111.0 +/- 1404.1,129400.4 +/- 1464.4,129668.8 +/- 1522.3,129917.3 +/- 1577.9,130147.3 +/- 1631.2,130359.8 +/- 1682.0,130555.9 +/- 1730.5,130736.7 +/- 1776.7,130903.1 +/- 1820.6,131056.1 +/- 1862.2,131196.7 +/- 1901.6,131325.6 +/- 1938.9,131443.7 +/- 1974.1,131551.8 +/- 2007.2,131650.7 +/- 2038.4,131740.9 +/- 2067.6,131823.2 +/- 2095.0,131898.1 +/- 2120.7,131966.3 +/- 2144.7,132028.3 +/- 2167.0,132084.6 +/- 2187.8,132135.7 +/- 2207.2,132181.9 +/- 2225.2,132223.8 +/- 2241.8,132261.7 +/- 2257.2,132295.9 +/- 2271.4,132326.8 +/- 2284.6,132354.6 +/- 2296.7,132379.7 +/- 2307.8,132402.3 +/- 2318.0
Rest of Europe,87620.0 +/- 0.0,87621.0 +/- 1.0,87622.0 +/- 1.4,87623.0 +/- 1.7,87624.0 +/- 2.0,87625.0 +/- 2.2,87626.0 +/- 2.4,87627.0 +/- 2.6,87628.0 +/- 2.8,87629.0 +/- 3.0,87630.0 +/- 3.2,87631.0 +/- 3.3,87632.0 +/- 3.5,87633.0 +/- 3.6,87634.0 +/- 3.7,87635.0 +/- 3.9,87636.0 +/- 4.0,87637.0 +/- 4.1,87638.0 +/- 4.2,87639.0 +/- 4.4,87640.0 +/- 4.5,87641.0 +/- 4.6,87642.0 +/- 4.7,87643.0 +/- 4.8,87644.0 +/- 4.9,87645.0 +/- 5.0,87646.0 +/- 5.1,87647.0 +/- 5.2,87648.0 +/- 5.3,87649.0 +/- 5.4,87650.0 +/- 5.5,87651.0 +/- 5.6,87652.0 +/- 5.7,87653.0 +/- 5.7,87654.0 +/- 5.8,87655.0 +/- 5.9,87656.0 +/- 6.0,87657.0 +/- 6.1,87658.0 +/- 6.2,87659.0 +/- 6.2,87660.0 +/- 6.3,87661.0 +/- 6.4,87662.0 +/- 6.5,87663.0 +/- 6.6,87664.0 +/- 6.6,87665.0 +/- 6.7,87666.0 +/- 6.8,87667.0 +/- 6.9
Russia,2212.0 +/- 0.0,2304.9 +/- 13.3,2397.8 +/- 22.8,2490.7 +/- 32.1,2583.4 +/- 41.4,2676.1 +/- 50.7,2768.7 +/- 60.0,2861.2 +/- 69.3,2953.6 +/- 78.6,3045.8 +/- 88.0,3138.0 +/- 97.4,3230.0 +/- 106.8,3321.8 +/- 116.3,3413.5 +/- 125.7,3505.1 +/- 135.2,3596.5 +/- 144.7,3687.7 +/- 154.3,3778.7 +/- 163.8,3869.5 +/- 173.4,3960.1 +/- 183.0,4050.5 +/- 192.6,4140.7 +/- 202.2,4230.6 +/- 211.9,4320.3 +/- 221.5,4409.8 +/- 231.2,4499.0 +/- 240.9,4588.0 +/- 250.6,4676.6 +/- 260.3,4765.0 +/- 270.0,4853.1 +/- 279.7,4940.9 +/- 289.5,5028.4 +/- 299.2,5115.6 +/- 309.0,5202.5 +/- 318.7,5289.0 +/- 328.5,5375.2 +/- 338.3,5461.1 +/- 348.0,5546.6 +/- 357.8,5631.8 +/- 367.6,5716.6 +/- 377.4,5801.0 +/- 387.1,5885.1 +/- 396.9,5968.8 +/- 406.7,6052.1 +/- 416.5,6135.0 +/- 426.2,6217.5 +/- 436.0,6299.6 +/- 445.7,6381.2 +/- 455.5
Spain,27104.0 +/- 0.0,27196.1 +/- 13.3,27280.1 +/- 22.4,27356.8 +/- 31.0,27426.5 +/- 39.1,27489.8 +/- 46.8,27547.2 +/- 54.0,27599.2 +/- 60.9,27646.2 +/- 67.4,27688.5 +/- 73.5,27726.7 +/- 79.2,27761.0 +/- 84.5,27791.8 +/- 89.5,27819.4 +/- 94.1,27844.1 +/- 98.4,27866.2 +/- 102.4,27886.0 +/- 106.1,27903.6 +/- 109.4,27919.3 +/- 112.5,27933.2 +/- 115.4,27945.6 +/- 118.0,27956.7 +/- 120.3,27966.5 +/- 122.4,27975.2 +/- 124.4,27983.0 +/- 126.1,27989.8 +/- 127.7,27996.0 +/- 129.1,28001.4 +/- 130.4,28006.3 +/- 131.5,28010.6 +/- 132.6,28014.5 +/- 133.5,28018.0 +/- 134.3,28021.2 +/- 135.0,28024.0 +/- 135.6,28026.6 +/- 136.2,28029.0 +/- 136.7,28031.1 +/- 137.1,28033.1 +/- 137.5,28034.9 +/- 137.8,28036.7 +/- 138.1,28038.3 +/- 138.3,28039.8 +/- 138.6,28041.2 +/- 138.7,28042.6 +/- 138.9,28043.9 +/- 139.0,28045.1 +/- 139.2,28046.3 +/- 139.3,28047.5 +/- 139.4
United Kingdom,33264.0 +/- 0.0,33567.9 +/- 49.7,33850.1 +/- 95.9,34111.8 +/- 141.7,34353.8 +/- 186.9,34577.2 +/- 231.3,34783.0 +/- 274.7,34972.0 +/- 317.1,35145.5 +/- 358.2,35304.2 +/- 398.0,35449.1 +/- 436.4,35581.2 +/- 473.3,35701.4 +/- 508.6,35810.4 +/- 542.2,35909.1 +/- 574.2,35998.4 +/- 604.5,36078.9 +/- 633.1,36151.3 +/- 660.1,36216.4 +/- 685.3,36274.8 +/- 708.9,36327.1 +/- 731.0,36373.7 +/- 751.4,36415.3 +/- 770.4,36452.3 +/- 787.9,36485.2 +/- 804.0,36514.4 +/- 818.8,36540.3 +/- 832.4,36563.1 +/- 844.8,36583.3 +/- 856.0,36601.1 +/- 866.3,36616.8 +/- 875.5,36630.6 +/- 883.9,36642.7 +/- 891.4,36653.4 +/- 898.1,36662.7 +/- 904.2,36671.0 +/- 909.6,36678.2 +/- 914.4,36684.6 +/- 918.6,36690.2 +/- 922.4,36695.2 +/- 925.7,36699.5 +/- 928.7,36703.4 +/- 931.3,36706.9 +/- 933.5,36710.0 +/- 935.5,36712.7 +/- 937.2,36715.2 +/- 938.7,36717.5 +/- 940.0,36719.6 +/- 941.1
Italy,31106.0 +/- 0.0,31242.7 +/- 15.5,31370.2 +/- 25.8,31488.9 +/- 35.6,31599.4 +/- 45.1,31701.9 +/- 54.2,31797.0 +/- 63.1,31885.1 +/- 71.6,31966.6 +/- 79.9,32041.8 +/- 87.8,32111.3 +/- 95.5,32175.2 +/- 102.8,32234.1 +/- 109.8,32288.2 +/- 116.5,32337.8 +/- 122.8,32383.3 +/- 128.9,32424.9 +/- 134.6,32463.0 +/- 140.0,32497.7 +/- 145.1,32529.5 +/- 150.0,32558.4 +/- 154.5,32584.7 +/- 158.8,32608.6 +/- 162.7,32630.3 +/- 166.5,32650.0 +/- 170.0,32667.9 +/- 173.2,32684.1 +/- 176.2,32698.8 +/- 179.0,32712.1 +/- 181.6,32724.1 +/- 184.0,32734.9 +/- 186.2,32744.7 +/- 188.2,32753.6 +/- 190.1,32761.6 +/- 191.8,32768.9 +/- 193.3,32775.4 +/- 194.8,32781.3 +/- 196.1,32786.7 +/- 197.2,32791.6 +/- 198.3,32796.0 +/- 199.3,32800.0 +/- 200.2,32803.7 +/- 201.0,32807.0 +/- 201.7,32810.1 +/- 202.4,32812.9 +/- 202.9,32815.5 +/- 203.5,32817.8 +/- 203.9,32820.1 +/- 204.4
