place,5/31/20,6/1/20,6/2/20,6/3/20,6/4/20,6/5/20,6/6/20,6/7/20,6/8/20,6/9/20,6/10/20,6/11/20,6/12/20,6/13/20,6/14/20,6/15/20,6/16/20,6/17/20,6/18/20,6/19/20,6/20/20,6/21/20,6/22/20,6/23/20,6/24/20,6/25/20,6/26/20,6/27/20,6/28/20,6/29/20
World,0.0,135.3,260.3,390.0,524.6,663.9,807.9,956.3,1109.1,1266.0,1426.9,1591.7,1760.1,1932.0,2107.1,2285.3,2466.3,2650.0,2836.2,3024.7,3215.2,3407.5,3601.6,3797.0,3993.8,4191.5,4390.2,4589.5,4789.2,4989.2
Rest of World,0.0,135.3,260.3,390.0,524.6,663.9,807.9,956.3,1109.1,1266.0,1426.9,1591.7,1760.1,1932.0,2107.1,2285.3,2466.3,2650.0,2836.2,3024.7,3215.2,3407.5,3601.6,3797.0,3993.8,4191.5,4390.2,4589.5,4789.2,4989.2
America,0.0,59.7,112.3,164.9,217.6,270.3,322.7,374.8,426.5,477.7,528.2,577.9,626.8,674.8,721.8,767.7,812.5,856.1,898.5,939.5,979.3,1017.7,1054.7,1090.4,1124.7,1157.5,1189.1,1219.2,1248.0,1275.4
US,0.0,82.3,160.0,238.2,317.1,396.4,476.1,555.9,635.7,715.4,794.9,874.0,952.6,1030.7,1107.9,1184.4,1259.9,1334.4,1407.8,1480.0,1550.9,1620.4,1688.5,1755.1,1820.2,1883.7,1945.6,2005.8,2064.4,2121.2
Europe,0.0,30.9,56.0,79.9,102.7,124.5,145.3,165.1,183.9,201.7,218.6,234.5,249.6,263.7,277.1,289.6,301.3,312.2,322.5,332.0,340.9,349.2,356.8,363.9,370.5,376.5,382.1,387.3,392.0,396.3
Rest of Europe,0.0,26.3,47.8,68.1,87.4,105.7,122.9,139.2,154.5,168.8,182.3,194.9,206.6,217.5,227.7,237.1,245.8,253.9,261.3,268.2,274.5,280.2,285.5,290.3,294.7,298.7,302.4,305.7,308.6,311.3
Brazil,0.0,44.7,75.3,105.1,134.5,163.8,193.0,222.2,251.3,280.3,309.6,344.3,399.2,500.3,674.4,938.6,1301.5,1768.1,2342.0,3025.5,3819.8,4724.3,5736.8,6853.5,8069.2,9377.0,10769.0,12235.8,13767.5,15353.2
Russia,0.0,13.6,20.8,27.3,33.4,39.4,45.3,51.1,57.0,63.0,69.3,76.3,84.3,93.9,105.6,119.9,137.2,158.1,182.8,211.5,244.4,281.6,323.2,369.2,419.6,474.5,533.8,597.4,665.3,737.5
MiddleEast,0.0,8.5,13.5,18.3,22.9,27.5,32.1,36.7,41.2,45.7,50.3,54.8,59.3,63.7,68.2,72.6,77.0,81.4,85.8,90.1,94.3,98.6,102.8,106.9,111.0,115.1,119.1,123.0,126.9,130.7
United Kingdom,0.0,15.9,27.4,38.2,48.6,58.5,68.0,77.0,85.6,93.8,101.5,108.8,115.7,122.2,128.2,133.9,139.2,144.2,148.8,153.1,157.0,160.7,164.1,167.2,170.0,172.6,175.0,177.2,179.2,181.0
FarEast,0.0,15.3,23.8,31.4,38.8,46.0,53.1,60.2,67.1,74.1,81.0,87.8,94.6,101.5,108.6,116.3,125.5,137.0,152.1,172.2,198.3,231.4,272.1,320.8,377.8,443.2,517.0,599.1,689.6,788.3
Spain,0.0,4.2,6.5,8.4,10.2,11.7,13.1,14.3,15.4,16.4,17.3,18.0,18.7,19.3,19.9,20.4,20.8,21.1,21.5,21.8,22.0,22.2,22.4,22.6,22.7,22.8,22.9,23.0,23.1,23.1
Italy,0.0,1.0,1.4,1.7,2.0,2.2,2.4,2.6,2.8,3.0,3.2,3.3,3.5,3.6,3.7,3.9,4.0,4.1,4.2,4.4,4.5,4.6,4.7,4.8,4.9,5.0,5.1,5.2,5.3,5.4
France,0.0,7.7,12.8,17.4,21.6,25.6,29.2,32.5,35.5,38.3,40.9,43.2,45.3,47.2,48.9,50.4,51.8,53.1,54.2,55.2,56.1,56.9,57.6,58.2,58.8,59.3,59.7,60.1,60.4,60.7
Germany,0.0,6.0,10.2,14.2,17.9,21.5,24.8,28.0,31.0,33.8,36.4,38.9,41.2,43.3,45.3,47.1,48.8,50.4,51.8,53.1,54.4,55.5,56.5,57.4,58.2,59.0,59.7,60.3,60.8,61.3
India,0.0,15.3,23.9,31.8,39.4,46.9,54.3,61.6,69.0,76.2,83.5,90.7,97.9,105.1,112.2,119.3,126.4,133.4,150.4,217.0,372.1,622.6,963.7,1386.1,1875.8,2414.4,2981.4,3555.8,4117.8,4650.3
Turkey,0.0,4.6,7.5,10.2,12.7,15.1,17.3,19.5,21.4,23.3,25.0,26.6,28.1,29.5,30.8,32.0,33.1,34.1,35.0,35.8,36.6,37.3,37.9,38.4,39.0,39.4,39.8,40.2,40.5,40.8
Peru,0.0,20.0,36.8,53.5,70.2,87.0,103.8,120.8,137.7,154.8,171.9,189.0,206.3,223.5,240.9,258.2,275.7,293.2,310.7,328.3,345.9,363.6,381.3,399.0,416.8,434.7,452.6,470.5,488.4,506.4
Iran,0.0,6.5,10.4,14.0,17.5,20.9,24.3,27.6,30.8,33.9,37.0,40.1,43.1,46.0,48.9,51.7,54.4,57.1,59.7,62.2,64.7,67.1,69.4,71.7,73.9,76.0,78.1,80.1,82.0,83.9
