place,5/13/20,5/14/20,5/15/20,5/16/20,5/17/20,5/18/20,5/19/20,5/20/20,5/21/20,5/22/20,5/23/20,5/24/20,5/25/20,5/26/20,5/27/20,5/28/20,5/29/20,5/30/20,5/31/20,6/1/20,6/2/20,6/3/20,6/4/20,6/5/20,6/6/20,6/7/20,6/8/20,6/9/20,6/10/20,6/11/20,6/12/20,6/13/20,6/14/20,6/15/20,6/16/20,6/17/20,6/18/20,6/19/20,6/20/20,6/21/20,6/22/20,6/23/20,6/24/20,6/25/20,6/26/20,6/27/20,6/28/20,6/29/20
World,1548547.0 +/- 0.0,1581401.9 +/- 541.0,1614257.4 +/- 1051.2,1647102.0 +/- 1561.0,1679926.4 +/- 2070.5,1712721.4 +/- 2580.0,1745477.6 +/- 3089.9,1778185.9 +/- 3600.8,1810837.0 +/- 4114.1,1843422.0 +/- 4631.4,1875931.6 +/- 5154.8,1908356.9 +/- 5687.2,1940689.0 +/- 6232.1,1972919.0 +/- 6793.6,2005038.0 +/- 7376.5,2037037.5 +/- 7986.3,2068908.9 +/- 8628.7,2100643.6 +/- 9310.4,2132233.4 +/- 10038.0,2163670.0 +/- 10818.5,2194945.2 +/- 11659.1,2226051.1 +/- 12566.7,2256979.8 +/- 13548.3,2287723.7 +/- 14610.4,2318275.2 +/- 15759.2,2348626.9 +/- 17000.7,2378771.6 +/- 18340.0,2408702.2 +/- 19782.1,2438411.8 +/- 21331.4,2467893.7 +/- 22991.8,2497141.4 +/- 24766.7,2526148.5 +/- 26659.3,2554908.9 +/- 28672.2,2583416.5 +/- 30807.7,2611665.6 +/- 33067.7,2639650.7 +/- 35454.0,2667366.2 +/- 37967.7,2694807.2 +/- 40610.1,2721968.5 +/- 43381.9,2748845.5 +/- 46283.6,2775433.5 +/- 49315.7,2801728.3 +/- 52478.1,2827725.7 +/- 55770.9,2853421.7 +/- 59193.7,2878812.8 +/- 62745.9,2903895.4 +/- 66426.8,2928666.2 +/- 70235.7,2953122.3 +/- 74171.3
Rest of World,1548547.0 +/- 0.0,1581401.9 +/- 541.0,1614257.4 +/- 1051.2,1647102.0 +/- 1561.0,1679926.4 +/- 2070.5,1712721.4 +/- 2580.0,1745477.6 +/- 3089.9,1778185.9 +/- 3600.8,1810837.0 +/- 4114.1,1843422.0 +/- 4631.4,1875931.6 +/- 5154.8,1908356.9 +/- 5687.2,1940689.0 +/- 6232.1,1972919.0 +/- 6793.6,2005038.0 +/- 7376.5,2037037.5 +/- 7986.3,2068908.9 +/- 8628.7,2100643.6 +/- 9310.4,2132233.4 +/- 10038.0,2163670.0 +/- 10818.5,2194945.2 +/- 11659.1,2226051.1 +/- 12566.7,2256979.8 +/- 13548.3,2287723.7 +/- 14610.4,2318275.2 +/- 15759.2,2348626.9 +/- 17000.7,2378771.6 +/- 18340.0,2408702.2 +/- 19782.1,2438411.8 +/- 21331.4,2467893.7 +/- 22991.8,2497141.4 +/- 24766.7,2526148.5 +/- 26659.3,2554908.9 +/- 28672.2,2583416.5 +/- 30807.7,2611665.6 +/- 33067.7,2639650.7 +/- 35454.0,2667366.2 +/- 37967.7,2694807.2 +/- 40610.1,2721968.5 +/- 43381.9,2748845.5 +/- 46283.6,2775433.5 +/- 49315.7,2801728.3 +/- 52478.1,2827725.7 +/- 55770.9,2853421.7 +/- 59193.7,2878812.8 +/- 62745.9,2903895.4 +/- 66426.8,2928666.2 +/- 70235.7,2953122.3 +/- 74171.3
America,282040.0 +/- 0.0,285902.4 +/- 224.4,289753.3 +/- 439.7,293592.2 +/- 654.6,297418.9 +/- 869.0,301233.0 +/- 1083.0,305034.2 +/- 1296.5,308822.1 +/- 1509.5,312596.4 +/- 1722.0,316356.8 +/- 1934.0,320102.9 +/- 2145.4,323834.5 +/- 2356.3,327551.2 +/- 2566.6,331252.6 +/- 2776.3,334938.6 +/- 2985.4,338608.8 +/- 3193.8,342262.9 +/- 3401.6,345900.6 +/- 3608.7,349521.6 +/- 3815.1,353125.6 +/- 4020.8,356712.4 +/- 4225.7,360281.7 +/- 4430.0,363833.2 +/- 4633.4,367366.6 +/- 4836.1,370881.7 +/- 5038.0,374378.3 +/- 5239.0,377856.0 +/- 5439.3,381314.7 +/- 5638.7,384754.1 +/- 5837.2,388173.9 +/- 6034.9,391574.0 +/- 6231.7,394954.1 +/- 6427.5,398313.9 +/- 6622.5,401653.4 +/- 6816.5,404972.2 +/- 7009.5,408270.3 +/- 7201.6,411547.2 +/- 7392.7,414803.0 +/- 7582.8,418037.4 +/- 7771.9,421250.1 +/- 7960.0,424441.2 +/- 8147.1,427610.3 +/- 8333.1,430757.3 +/- 8518.1,433882.0 +/- 8702.0,436984.4 +/- 8884.8,440064.2 +/- 9066.5,443121.3 +/- 9247.1,446155.5 +/- 9426.6
US,243430.0 +/- 0.0,247436.5 +/- 242.7,251432.5 +/- 476.8,255417.5 +/- 710.4,259391.2 +/- 943.7,263353.2 +/- 1176.6,267303.1 +/- 1409.1,271240.7 +/- 1641.1,275165.5 +/- 1872.7,279077.2 +/- 2103.8,282975.4 +/- 2334.4,286859.8 +/- 2564.5,290730.2 +/- 2794.0,294586.0 +/- 3023.0,298427.1 +/- 3251.3,302253.0 +/- 3479.1,306063.5 +/- 3706.3,309858.3 +/- 3932.8,313636.9 +/- 4158.6,317399.2 +/- 4383.8,321144.9 +/- 4608.2,324873.5 +/- 4831.9,328584.8 +/- 5054.9,332278.6 +/- 5277.1,335954.6 +/- 5498.5,339612.4 +/- 5719.2,343251.8 +/- 5939.0,346872.5 +/- 6158.0,350474.3 +/- 6376.1,354056.9 +/- 6593.3,357620.1 +/- 6809.7,361163.5 +/- 7025.1,364687.0 +/- 7239.6,368190.4 +/- 7453.2,371673.3 +/- 7665.8,375135.6 +/- 7877.4,378577.0 +/- 8088.1,381997.4 +/- 8297.7,385396.4 +/- 8506.3,388774.0 +/- 8713.9,392129.9 +/- 8920.4,395463.8 +/- 9125.8,398775.7 +/- 9330.2,402065.4 +/- 9533.5,405332.6 +/- 9735.6,408577.2 +/- 9936.7,411799.1 +/- 10136.5,414998.0 +/- 10335.3
Europe,577985.0 +/- 0.0,583437.3 +/- 1037.7,588690.9 +/- 2101.6,593747.9 +/- 3191.8,598610.8 +/- 4305.5,603282.4 +/- 5439.8,607765.7 +/- 6591.9,612064.1 +/- 7759.0,616181.1 +/- 8938.2,620120.4 +/- 10126.6,623886.0 +/- 11321.5,627481.8 +/- 12520.0,630912.1 +/- 13719.4,634181.4 +/- 14917.2,637294.0 +/- 16110.8,640254.5 +/- 17297.7,643067.5 +/- 18475.6,645737.7 +/- 19642.2,648269.9 +/- 20795.4,650668.7 +/- 21933.2,652939.0 +/- 23053.7,655085.5 +/- 24155.2,657112.9 +/- 25236.1,659025.9 +/- 26294.9,660829.2 +/- 27330.3,662527.4 +/- 28341.1,664125.0 +/- 29326.2,665626.5 +/- 30284.7,667036.3 +/- 31215.8,668358.6 +/- 32118.9,669597.6 +/- 32993.5,670757.5 +/- 33839.0,671842.2 +/- 34655.2,672855.6 +/- 35442.0,673801.5 +/- 36199.3,674683.3 +/- 36927.1,675504.8 +/- 37625.4,676269.2 +/- 38294.6,676979.8 +/- 38935.0,677639.8 +/- 39546.8,678252.1 +/- 40130.6,678819.6 +/- 40686.9,679345.2 +/- 41216.1,679831.3 +/- 41719.0,680280.6 +/- 42196.2,680695.4 +/- 42648.3,681077.9 +/- 43076.2,681430.5 +/- 43480.6
Rest of Europe,465444.0 +/- 0.0,470107.6 +/- 866.4,474619.8 +/- 1746.7,478981.9 +/- 2642.1,483195.7 +/- 3550.9,487263.0 +/- 4471.4,491185.7 +/- 5402.0,494966.2 +/- 6341.0,498606.6 +/- 7286.8,502109.3 +/- 8237.5,505477.0 +/- 9191.6,508712.3 +/- 10147.5,511818.0 +/- 11103.5,514796.9 +/- 12058.0,517651.9 +/- 13009.6,520386.0 +/- 13956.8,523002.3 +/- 14898.1,525504.0 +/- 15832.2,527894.1 +/- 16757.7,530175.8 +/- 17673.4,532352.3 +/- 18578.1,534426.9 +/- 19470.6,536402.7 +/- 20350.0,538283.0 +/- 21215.1,540071.1 +/- 22065.2,541770.0 +/- 22899.3,543383.0 +/- 23716.7,544913.2 +/- 24516.6,546363.7 +/- 25298.6,547737.6 +/- 26061.9,549037.9 +/- 26806.1,550267.6 +/- 27530.8,551429.7 +/- 28235.7,552526.9 +/- 28920.4,553562.1 +/- 29584.7,554538.0 +/- 30228.6,555457.3 +/- 30851.8,556322.6 +/- 31454.3,557136.4 +/- 32036.3,557901.3 +/- 32597.6,558619.5 +/- 33138.5,559293.4 +/- 33659.1,559925.3 +/- 34159.6,560517.3 +/- 34640.2,561071.5 +/- 35101.3,561589.8 +/- 35543.1,562074.3 +/- 35966.0,562526.9 +/- 36370.3
Russia,48003.0 +/- 0.0,51387.9 +/- 172.0,54947.7 +/- 340.3,58681.8 +/- 514.6,62588.2 +/- 694.8,66664.2 +/- 880.6,70906.0 +/- 1072.0,75308.6 +/- 1268.6,79866.1 +/- 1470.2,84571.6 +/- 1676.5,89417.0 +/- 1887.2,94393.4 +/- 2101.8,99490.8 +/- 2320.0,104698.5 +/- 2541.5,110004.7 +/- 2765.7,115397.2 +/- 2992.3,120862.8 +/- 3220.8,126388.1 +/- 3450.7,131958.9 +/- 3681.5,137560.7 +/- 3912.8,143179.1 +/- 4144.1,148800.7 +/- 4375.3,154421.8 +/- 4607.1,160041.6 +/- 4839.3,165659.6 +/- 5071.9,171275.1 +/- 5304.7,176887.4 +/- 5537.8,182496.0 +/- 5770.9,188100.2 +/- 6004.1,193699.3 +/- 6237.4,199292.7 +/- 6470.6,204879.7 +/- 6703.7,210459.9 +/- 6936.8,216032.4 +/- 7169.7,221596.8 +/- 7402.4,227152.3 +/- 7634.9,232698.3 +/- 7867.1,238234.3 +/- 8099.1,243759.6 +/- 8330.9,249273.6 +/- 8562.3,254775.7 +/- 8793.5,260265.3 +/- 9024.3,265741.8 +/- 9254.9,271204.6 +/- 9485.1,276653.2 +/- 9715.0,282086.8 +/- 9944.6,287505.0 +/- 10173.9,292907.2 +/- 10403.0
Spain,140823.0 +/- 0.0,142964.2 +/- 126.2,145050.3 +/- 247.4,147081.2 +/- 372.3,149057.2 +/- 500.8,150978.5 +/- 632.8,152845.4 +/- 768.1,154658.4 +/- 906.6,156417.7 +/- 1047.9,158124.0 +/- 1192.0,159777.7 +/- 1338.5,161379.5 +/- 1487.4,162929.9 +/- 1638.3,164429.6 +/- 1791.0,165879.5 +/- 1945.3,167280.1 +/- 2101.0,168632.3 +/- 2257.8,169937.0 +/- 2415.5,171195.0 +/- 2573.8,172407.2 +/- 2732.6,173574.5 +/- 2891.6,174697.8 +/- 3050.5,175778.2 +/- 3209.2,176816.6 +/- 3367.5,177813.9 +/- 3525.1,178771.2 +/- 3681.8,179689.5 +/- 3837.4,180569.8 +/- 3991.8,181413.2 +/- 4144.8,182220.6 +/- 4296.2,182993.2 +/- 4445.8,183731.9 +/- 4593.4,184437.7 +/- 4739.0,185111.8 +/- 4882.5,185755.1 +/- 5023.5,186368.6 +/- 5162.2,186953.4 +/- 5298.3,187510.4 +/- 5431.7,188040.6 +/- 5562.4,188544.9 +/- 5690.2,189024.4 +/- 5815.2,189479.9 +/- 5937.2,189912.4 +/- 6056.3,190322.8 +/- 6172.2,190712.0 +/- 6285.1,191080.8 +/- 6394.9,191430.0 +/- 6501.5,191760.6 +/- 6605.0
United Kingdom,1032.0 +/- 0.0,1039.3 +/- 8.3,1046.1 +/- 16.2,1052.3 +/- 24.1,1057.9 +/- 32.0,1063.1 +/- 39.7,1067.8 +/- 47.2,1072.0 +/- 54.5,1075.9 +/- 61.5,1079.5 +/- 68.1,1082.7 +/- 74.4,1085.6 +/- 80.3,1088.3 +/- 85.8,1090.7 +/- 90.9,1093.0 +/- 95.5,1095.0 +/- 99.8,1096.9 +/- 103.7,1098.7 +/- 107.2,1100.4 +/- 110.3,1101.9 +/- 113.1,1103.4 +/- 115.6,1104.7 +/- 117.7,1106.1 +/- 119.6,1107.3 +/- 121.3,1108.5 +/- 122.7,1109.7 +/- 124.0,1110.9 +/- 125.0,1112.0 +/- 125.9,1113.1 +/- 126.7,1114.1 +/- 127.3,1115.2 +/- 127.9,1116.3 +/- 128.3,1117.3 +/- 128.7,1118.3 +/- 129.0,1119.4 +/- 129.3,1120.4 +/- 129.5,1121.4 +/- 129.6,1122.4 +/- 129.8,1123.4 +/- 129.9,1124.4 +/- 130.0,1125.4 +/- 130.0,1126.4 +/- 130.1,1127.4 +/- 130.2,1128.4 +/- 130.2,1129.4 +/- 130.2,1130.4 +/- 130.2,1131.4 +/- 130.3,1132.4 +/- 130.3
Italy,112541.0 +/- 0.0,113814.5 +/- 706.7,114973.3 +/- 1425.1,116022.2 +/- 2148.4,116966.6 +/- 2869.1,117812.5 +/- 3580.0,118566.1 +/- 4274.6,119233.9 +/- 4947.0,119822.6 +/- 5592.2,120338.8 +/- 6205.8,120789.1 +/- 6784.6,121179.8 +/- 7326.0,121517.0 +/- 7828.5,121806.5 +/- 8291.3,122053.7 +/- 8714.2,122263.7 +/- 9097.7,122441.2 +/- 9443.1,122590.3 +/- 9751.8,122715.1 +/- 10025.8,122818.8 +/- 10267.3,122904.6 +/- 10478.6,122975.2 +/- 10662.3,123033.0 +/- 10821.0,123080.1 +/- 10957.0,123118.2 +/- 11073.0,123149.0 +/- 11171.1,123173.6 +/- 11253.6,123193.2 +/- 11322.6,123208.8 +/- 11379.8,123221.0 +/- 11427.1,123230.7 +/- 11465.8,123238.2 +/- 11497.4,123244.0 +/- 11523.0,123248.6 +/- 11543.5,123252.0 +/- 11560.0,123254.7 +/- 11573.1,123256.7 +/- 11583.4,123258.2 +/- 11591.5,123259.3 +/- 11597.8,123260.2 +/- 11602.8,123260.8 +/- 11606.6,123261.3 +/- 11609.5,123261.7 +/- 11611.7,123261.9 +/- 11613.4,123262.1 +/- 11614.6,123262.2 +/- 11615.6,123262.3 +/- 11616.3,123262.4 +/- 11616.8
