place,5/17/20,5/18/20,5/19/20,5/20/20,5/21/20,5/22/20,5/23/20,5/24/20,5/25/20,5/26/20,5/27/20,5/28/20,5/29/20,5/30/20,5/31/20,6/1/20,6/2/20,6/3/20,6/4/20,6/5/20,6/6/20,6/7/20,6/8/20,6/9/20,6/10/20,6/11/20,6/12/20,6/13/20,6/14/20,6/15/20,6/16/20,6/17/20,6/18/20,6/19/20,6/20/20,6/21/20,6/22/20,6/23/20,6/24/20,6/25/20,6/26/20,6/27/20,6/28/20,6/29/20
World,0.0,1905.7,3808.8,5718.6,7635.2,9559.0,11490.5,13430.7,15380.4,17341.0,19314.1,21301.5,23305.3,25328.3,27373.1,29443.1,31541.9,33673.5,35842.1,38052.6,40310.0,42619.7,44987.5,47419.3,49921.4,52500.5,55163.2,57916.4,60767.2,63722.7,66790.1,69976.6,73289.3,76735.3,80321.8,84055.4,87943.1,91991.2,96206.2,100594.3,105161.1,109912.6,114853.9,119990.3
Rest of World,0.0,1905.7,3808.8,5718.6,7635.2,9559.0,11490.5,13430.7,15380.4,17341.0,19314.1,21301.5,23305.3,25328.3,27373.1,29443.1,31541.9,33673.5,35842.1,38052.6,40310.0,42619.7,44987.5,47419.3,49921.4,52500.5,55163.2,57916.4,60767.2,63722.7,66790.1,69976.6,73289.3,76735.3,80321.8,84055.4,87943.1,91991.2,96206.2,100594.3,105161.1,109912.6,114853.9,119990.3
America,0.0,1.0,1.4,1.7,2.0,2.2,2.4,2.6,2.8,3.0,3.2,3.3,3.5,3.6,3.7,3.9,4.0,4.1,4.2,4.4,4.5,4.6,4.7,4.8,4.9,5.0,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.7,5.8,5.9,6.0,6.1,6.2,6.2,6.3,6.4,6.5,6.6
US,0.0,241.1,473.6,705.5,937.0,1167.9,1398.4,1628.4,1857.8,2086.7,2315.0,2542.6,2769.7,2996.1,3221.9,3446.9,3671.3,3894.9,4117.8,4339.9,4561.3,4781.8,5001.6,5220.5,5438.5,5655.7,5872.0,6087.3,6301.8,6515.3,6727.9,6939.4,7150.0,7359.6,7568.2,7775.7,7982.2,8187.6,8391.9,8595.1,8797.2,8998.2,9198.1,9396.8
Europe,0.0,1155.8,2351.8,3590.2,4869.8,6189.5,7548.0,8943.9,10375.9,11842.5,13342.2,14873.2,16434.1,18023.1,19638.5,21278.5,22941.3,24625.1,26328.1,28048.5,29784.3,31533.6,33294.7,35065.7,36844.7,38629.9,40419.5,42211.6,44004.5,45796.5,47585.8,49370.8,51149.9,52921.4,54683.9,56435.7,58175.5,59901.9,61613.5,63309.1,64987.4,66647.2,68287.4,69907.0
Rest of Europe,0.0,594.6,1197.6,1812.6,2438.9,3075.6,3721.9,4377.0,5040.1,5710.3,6386.7,7068.6,7755.0,8445.2,9138.1,9833.0,10529.1,11225.6,11921.5,12616.2,13308.8,13998.6,14684.8,15366.8,16043.9,16715.3,17380.5,18038.9,18689.8,19332.7,19967.1,20592.5,21208.5,21814.6,22410.4,22995.6,23569.8,24132.7,24684.1,25223.7,25751.3,26266.7,26769.8,27260.5
Russia,0.0,282.4,569.9,872.7,1191.3,1526.0,1877.0,2244.7,2629.2,3030.7,3449.3,3885.0,4337.9,4808.0,5295.2,5799.4,6320.3,6857.7,7411.4,7981.0,8565.9,9165.9,9780.3,10408.6,11050.0,11704.0,12369.6,13046.3,13732.9,14428.8,15132.9,15844.2,16561.7,17284.4,18011.2,18741.0,19472.6,20205.0,20937.0,21668.7,22399.8,23130.2,23861.1,24596.2
United Kingdom,0.0,5.9,11.2,16.5,21.6,26.7,31.5,36.2,40.7,45.0,49.0,52.8,56.3,59.6,62.6,65.4,67.9,70.2,72.3,74.2,75.8,77.3,78.6,79.8,80.8,81.7,82.5,83.2,83.8,84.3,84.7,85.1,85.4,85.6,85.9,86.1,86.2,86.3,86.4,86.5,86.6,86.7,86.7,86.8
Brazil,0.0,286.5,565.0,843.3,1121.4,1399.4,1677.6,1956.4,2236.8,2520.0,2807.7,3101.8,3405.1,3720.4,4051.3,4401.5,4775.1,5176.4,5609.6,6079.1,6589.0,7143.3,7745.7,8399.4,9107.4,9872.2,10695.9,11580.3,12526.9,13536.7,14610.6,15749.0,16952.1,18220.0,19552.5,20949.0,22409.0,23931.7,25516.0,27160.9,28865.0,30626.9,32444.9,34317.5
Spain,0.0,135.7,267.2,401.7,539.1,679.0,821.3,965.8,1112.3,1260.4,1410.1,1561.1,1713.0,1865.8,2019.2,2172.9,2326.7,2480.4,2633.8,2786.7,2938.9,3090.2,3240.3,3389.2,3536.6,3682.4,3826.4,3968.4,4108.4,4246.2,4381.6,4514.7,4645.1,4773.0,4898.2,5020.5,5140.0,5256.6,5370.3,5480.9,5588.5,5693.1,5794.6,5893.1
