place,5/17/20,5/18/20,5/19/20,5/20/20,5/21/20,5/22/20,5/23/20,5/24/20,5/25/20,5/26/20,5/27/20,5/28/20,5/29/20,5/30/20,5/31/20,6/1/20,6/2/20,6/3/20,6/4/20,6/5/20,6/6/20,6/7/20,6/8/20,6/9/20,6/10/20,6/11/20,6/12/20,6/13/20,6/14/20,6/15/20,6/16/20,6/17/20,6/18/20,6/19/20,6/20/20,6/21/20,6/22/20,6/23/20,6/24/20,6/25/20,6/26/20,6/27/20,6/28/20,6/29/20
Italia,225435.0 +/- 0.0,226062.8 +/- 42.9,226644.6 +/- 76.8,227183.0 +/- 109.3,227680.7 +/- 140.6,228140.1 +/- 170.6,228563.5 +/- 199.4,228953.3 +/- 227.0,229311.7 +/- 253.4,229640.7 +/- 278.5,229942.3 +/- 302.4,230218.6 +/- 325.1,230471.2 +/- 346.6,230701.9 +/- 367.0,230912.3 +/- 386.2,231103.9 +/- 404.4,231278.3 +/- 421.4,231436.7 +/- 437.4,231580.4 +/- 452.4,231710.6 +/- 466.4,231828.5 +/- 479.5,231935.0 +/- 491.7,232031.2 +/- 503.0,232117.9 +/- 513.6,232196.0 +/- 523.3,232266.3 +/- 532.3,232329.4 +/- 540.7,232386.1 +/- 548.3,232436.8 +/- 555.4,232482.3 +/- 561.9,232523.0 +/- 567.8,232559.3 +/- 573.3,232591.8 +/- 578.2,232620.7 +/- 582.8,232646.5 +/- 586.9,232669.5 +/- 590.7,232689.9 +/- 594.1,232708.1 +/- 597.2,232724.3 +/- 600.0,232738.6 +/- 602.5,232751.4 +/- 604.7,232762.7 +/- 606.8,232772.8 +/- 608.6,232781.7 +/- 610.3
Nord,152601.0 +/- 0.0,153136.8 +/- 46.9,153638.2 +/- 87.0,154106.9 +/- 126.0,154544.5 +/- 164.1,154952.7 +/- 201.3,155332.9 +/- 237.3,155686.6 +/- 272.3,156015.4 +/- 306.2,156320.5 +/- 338.9,156603.4 +/- 370.5,156865.4 +/- 400.8,157107.8 +/- 429.9,157331.7 +/- 457.9,157538.4 +/- 484.6,157728.9 +/- 510.1,157904.3 +/- 534.4,158065.6 +/- 557.5,158213.8 +/- 579.5,158349.8 +/- 600.3,158474.4 +/- 620.0,158588.5 +/- 638.6,158692.9 +/- 656.1,158788.3 +/- 672.6,158875.3 +/- 688.2,158954.6 +/- 702.7,159026.8 +/- 716.3,159092.5 +/- 729.1,159152.2 +/- 741.0,159206.4 +/- 752.1,159255.5 +/- 762.4,159300.1 +/- 772.0,159340.4 +/- 780.9,159376.8 +/- 789.1,159409.8 +/- 796.8,159439.5 +/- 803.8,159466.3 +/- 810.3,159490.5 +/- 816.3,159512.3 +/- 821.7,159531.9 +/- 826.8,159549.6 +/- 831.4,159565.4 +/- 835.6,159579.7 +/- 839.5,159592.5 +/- 843.0
FuoriLombardia,140591.0 +/- 0.0,140900.8 +/- 21.5,141184.0 +/- 34.3,141442.5 +/- 46.0,141678.1 +/- 57.0,141892.4 +/- 67.3,142087.1 +/- 77.0,142263.7 +/- 86.3,142423.5 +/- 95.0,142568.1 +/- 103.1,142698.6 +/- 110.8,142816.2 +/- 118.1,142922.0 +/- 124.8,143017.0 +/- 131.1,143102.3 +/- 137.0,143178.8 +/- 142.5,143247.1 +/- 147.5,143308.2 +/- 152.2,143362.6 +/- 156.5,143411.1 +/- 160.5,143454.3 +/- 164.2,143492.6 +/- 167.5,143526.6 +/- 170.6,143556.8 +/- 173.4,143583.5 +/- 175.9,143607.1 +/- 178.2,143627.9 +/- 180.3,143646.3 +/- 182.2,143662.6 +/- 183.9,143676.9 +/- 185.5,143689.6 +/- 186.9,143700.7 +/- 188.1,143710.5 +/- 189.2,143719.2 +/- 190.2,143726.8 +/- 191.1,143733.6 +/- 191.9,143739.5 +/- 192.6,143744.8 +/- 193.2,143749.5 +/- 193.8,143753.7 +/- 194.2,143757.4 +/- 194.7,143760.7 +/- 195.0,143763.7 +/- 195.4,143766.4 +/- 195.7
FuoriLombardiaEmiliaVeneto,121650.0 +/- 0.0,121933.3 +/- 20.6,122193.1 +/- 32.9,122431.1 +/- 44.1,122648.8 +/- 54.6,122847.6 +/- 64.6,123028.8 +/- 74.1,123193.8 +/- 83.1,123343.7 +/- 91.6,123479.8 +/- 99.7,123603.2 +/- 107.3,123714.8 +/- 114.5,123815.7 +/- 121.2,123906.6 +/- 127.6,123988.6 +/- 133.5,124062.4 +/- 139.0,124128.6 +/- 144.1,124188.1 +/- 148.9,124241.3 +/- 153.3,124289.0 +/- 157.4,124331.5 +/- 161.2,124369.6 +/- 164.7,124403.4 +/- 167.9,124433.6 +/- 170.8,124460.4 +/- 173.5,124484.3 +/- 176.0,124505.4 +/- 178.2,124524.2 +/- 180.2,124540.9 +/- 182.1,124555.6 +/- 183.8,124568.7 +/- 185.3,124580.3 +/- 186.6,124590.5 +/- 187.9,124599.6 +/- 189.0,124607.6 +/- 190.0,124614.7 +/- 190.8,124621.1 +/- 191.6,124626.7 +/- 192.3,124631.7 +/- 193.0,124636.1 +/- 193.5,124640.1 +/- 194.0,124643.7 +/- 194.4,124646.9 +/- 194.8,124649.8 +/- 195.2
Lombardia,84844.0 +/- 0.0,85149.1 +/- 35.6,85437.8 +/- 66.4,85710.8 +/- 96.8,85968.7 +/- 126.7,86212.2 +/- 156.2,86441.7 +/- 185.2,86658.0 +/- 213.7,86861.6 +/- 241.6,87053.2 +/- 269.0,87233.1 +/- 295.6,87402.1 +/- 321.6,87560.6 +/- 347.0,87709.2 +/- 371.6,87848.3 +/- 395.5,87978.5 +/- 418.6,88100.2 +/- 441.0,88213.8 +/- 462.6,88319.9 +/- 483.4,88418.8 +/- 503.5,88511.0 +/- 522.8,88596.7 +/- 541.4,88676.5 +/- 559.2,88750.7 +/- 576.2,88819.5 +/- 592.4,88883.4 +/- 608.0,88942.7 +/- 622.8,88997.5 +/- 636.9,89048.3 +/- 650.3,89095.3 +/- 663.1,89138.7 +/- 675.2,89178.9 +/- 686.6,89215.9 +/- 697.4,89250.0 +/- 707.7,89281.5 +/- 717.3,89310.5 +/- 726.4,89337.1 +/- 735.0,89361.7 +/- 743.0,89384.2 +/- 750.6,89405.0 +/- 757.7,89424.0 +/- 764.3,89441.5 +/- 770.6,89457.5 +/- 776.4,89472.2 +/- 781.8
Piemonte,29547.0 +/- 0.0,29634.7 +/- 13.9,29714.8 +/- 24.1,29787.8 +/- 34.1,29854.2 +/- 43.7,29914.4 +/- 53.1,29969.0 +/- 62.2,30018.3 +/- 71.0,30062.8 +/- 79.4,30102.9 +/- 87.5,30138.9 +/- 95.2,30171.2 +/- 102.5,30200.0 +/- 109.4,30225.8 +/- 115.9,30248.8 +/- 122.1,30269.3 +/- 127.8,30287.4 +/- 133.1,30303.5 +/- 138.1,30317.7 +/- 142.7,30330.2 +/- 146.9,30341.3 +/- 150.8,30351.0 +/- 154.4,30359.5 +/- 157.7,30366.9 +/- 160.7,30373.4 +/- 163.4,30379.1 +/- 165.9,30384.0 +/- 168.1,30388.3 +/- 170.1,30392.0 +/- 171.9,30395.2 +/- 173.6,30398.0 +/- 175.0,30400.3 +/- 176.3,30402.4 +/- 177.5,30404.1 +/- 178.5,30405.6 +/- 179.4,30406.9 +/- 180.2,30408.0 +/- 180.9,30408.9 +/- 181.5,30409.7 +/- 182.0,30410.4 +/- 182.5,30411.0 +/- 182.9,30411.4 +/- 183.3,30411.8 +/- 183.6,30412.2 +/- 183.8
Centro,28671.0 +/- 0.0,28727.7 +/- 9.1,28779.8 +/- 14.5,28827.6 +/- 19.4,28871.4 +/- 23.9,28911.5 +/- 28.2,28948.1 +/- 32.3,28981.6 +/- 36.1,29012.1 +/- 39.8,29039.9 +/- 43.2,29065.2 +/- 46.4,29088.2 +/- 49.4,29109.0 +/- 52.2,29128.0 +/- 54.9,29145.1 +/- 57.3,29160.6 +/- 59.6,29174.7 +/- 61.8,29187.4 +/- 63.8,29198.9 +/- 65.6,29209.3 +/- 67.3,29218.7 +/- 68.9,29227.1 +/- 70.3,29234.8 +/- 71.6,29241.7 +/- 72.8,29247.9 +/- 73.9,29253.6 +/- 75.0,29258.7 +/- 75.9,29263.4 +/- 76.7,29267.6 +/- 77.5,29271.4 +/- 78.2,29274.9 +/- 78.8,29278.1 +/- 79.4,29281.0 +/- 79.9,29283.7 +/- 80.3,29286.1 +/- 80.7,29288.4 +/- 81.1,29290.5 +/- 81.4,29292.5 +/- 81.7,29294.3 +/- 82.0,29296.1 +/- 82.2,29297.7 +/- 82.4,29299.3 +/- 82.6,29300.7 +/- 82.8,29302.2 +/- 82.9
EmiliaRomagna,27232.0 +/- 0.0,27270.2 +/- 7.3,27304.7 +/- 11.3,27335.7 +/- 14.8,27363.5 +/- 18.0,27388.6 +/- 20.9,27411.0 +/- 23.6,27431.0 +/- 26.1,27449.0 +/- 28.4,27465.0 +/- 30.5,27479.3 +/- 32.4,27492.1 +/- 34.2,27503.4 +/- 35.8,27513.5 +/- 37.3,27522.5 +/- 38.6,27530.6 +/- 39.8,27537.7 +/- 40.9,27544.1 +/- 41.9,27549.7 +/- 42.8,27554.8 +/- 43.6,27559.3 +/- 44.3,27563.4 +/- 45.0,27567.1 +/- 45.5,27570.3 +/- 46.0,27573.3 +/- 46.5,27576.0 +/- 46.9,27578.5 +/- 47.3,27580.7 +/- 47.6,27582.8 +/- 47.8,27584.7 +/- 48.1,27586.5 +/- 48.3,27588.1 +/- 48.5,27589.7 +/- 48.7,27591.1 +/- 48.8,27592.5 +/- 48.9,27593.9 +/- 49.0,27595.2 +/- 49.1,27596.4 +/- 49.2,27597.6 +/- 49.3,27598.8 +/- 49.4,27599.9 +/- 49.4,27601.0 +/- 49.5,27602.1 +/- 49.5,27603.2 +/- 49.6
Veneto,18941.0 +/- 0.0,18963.2 +/- 5.6,18983.0 +/- 8.7,19000.9 +/- 11.5,19016.9 +/- 14.0,19031.2 +/- 16.3,19044.0 +/- 18.4,19055.4 +/- 20.4,19065.6 +/- 22.1,19074.7 +/- 23.8,19082.8 +/- 25.2,19090.1 +/- 26.6,19096.6 +/- 27.8,19102.3 +/- 28.9,19107.5 +/- 29.9,19112.1 +/- 30.9,19116.3 +/- 31.7,19120.0 +/- 32.4,19123.3 +/- 33.1,19126.4 +/- 33.7,19129.1 +/- 34.2,19131.6 +/- 34.6,19133.9 +/- 35.1,19136.0 +/- 35.4,19138.0 +/- 35.7,19139.8 +/- 36.0,19141.5 +/- 36.3,19143.1 +/- 36.5,19144.5 +/- 36.7,19146.0 +/- 36.9,19147.3 +/- 37.0,19148.6 +/- 37.2,19149.9 +/- 37.3,19151.1 +/- 37.4,19152.2 +/- 37.5,19153.4 +/- 37.5,19154.5 +/- 37.6,19155.6 +/- 37.7,19156.7 +/- 37.7,19157.8 +/- 37.8,19158.8 +/- 37.8,19159.9 +/- 37.8,19160.9 +/- 37.9,19161.9 +/- 37.9
Sud,15758.0 +/- 0.0,15777.1 +/- 5.3,15794.1 +/- 8.3,15809.2 +/- 11.0,15822.8 +/- 13.4,15834.8 +/- 15.6,15845.5 +/- 17.6,15855.0 +/- 19.4,15863.4 +/- 21.1,15870.9 +/- 22.6,15877.6 +/- 24.0,15883.5 +/- 25.3,15888.7 +/- 26.4,15893.4 +/- 27.4,15897.6 +/- 28.3,15901.4 +/- 29.1,15904.7 +/- 29.8,15907.8 +/- 30.5,15910.5 +/- 31.0,15913.0 +/- 31.5,15915.3 +/- 32.0,15917.3 +/- 32.4,15919.2 +/- 32.7,15921.0 +/- 33.0,15922.7 +/- 33.3,15924.2 +/- 33.5,15925.7 +/- 33.7,15927.1 +/- 33.9,15928.4 +/- 34.1,15929.7 +/- 34.2,15930.9 +/- 34.3,15932.1 +/- 34.4,15933.2 +/- 34.5,15934.4 +/- 34.6,15935.5 +/- 34.7,15936.6 +/- 34.7,15937.6 +/- 34.8,15938.7 +/- 34.8,15939.7 +/- 34.9,15940.8 +/- 34.9,15941.8 +/- 34.9,15942.8 +/- 35.0,15943.9 +/- 35.0,15944.9 +/- 35.0
