place,5/31/20,6/1/20,6/2/20,6/3/20,6/4/20,6/5/20,6/6/20,6/7/20,6/8/20,6/9/20,6/10/20,6/11/20,6/12/20,6/13/20,6/14/20,6/15/20,6/16/20,6/17/20,6/18/20,6/19/20,6/20/20,6/21/20,6/22/20,6/23/20,6/24/20,6/25/20,6/26/20,6/27/20,6/28/20,6/29/20
Italia,157507.0 +/- 0.0,159221.1 +/- 169.5,160889.3 +/- 340.7,162511.6 +/- 518.9,164088.0 +/- 703.6,165618.8 +/- 894.6,167104.1 +/- 1091.6,168544.2 +/- 1294.3,169939.5 +/- 1502.3,171290.3 +/- 1715.3,172597.1 +/- 1932.9,173860.4 +/- 2154.7,175080.8 +/- 2380.2,176258.7 +/- 2609.1,177394.9 +/- 2841.0,178490.0 +/- 3075.4,179544.7 +/- 3311.9,180559.8 +/- 3550.1,181536.0 +/- 3789.6,182474.0 +/- 4030.0,183374.8 +/- 4270.8,184239.2 +/- 4511.7,185067.9 +/- 4752.3,185862.0 +/- 4992.1,186622.2 +/- 5230.9,187349.5 +/- 5468.3,188044.8 +/- 5703.8,188709.0 +/- 5937.3,189343.1 +/- 6168.4,189947.8 +/- 6396.7
Nord,105237.0 +/- 0.0,106544.2 +/- 69.3,107845.7 +/- 128.8,109141.3 +/- 187.9,110431.1 +/- 247.0,111714.9 +/- 306.0,112992.5 +/- 364.9,114263.9 +/- 423.8,115529.0 +/- 482.6,116787.8 +/- 541.3,118040.0 +/- 599.9,119285.6 +/- 658.5,120524.6 +/- 717.0,121756.8 +/- 775.3,122982.2 +/- 833.6,124200.6 +/- 891.8,125412.0 +/- 949.8,126616.3 +/- 1007.7,127813.5 +/- 1065.5,129003.4 +/- 1123.2,130185.9 +/- 1180.7,131361.1 +/- 1238.1,132528.8 +/- 1295.3,133689.0 +/- 1352.4,134841.6 +/- 1409.3,135986.5 +/- 1466.1,137123.7 +/- 1522.6,138253.1 +/- 1579.0,139374.6 +/- 1635.2,140488.3 +/- 1691.2
FuoriLombardia,105647.0 +/- 0.0,107418.7 +/- 160.2,109182.8 +/- 324.1,110939.2 +/- 497.7,112687.8 +/- 681.2,114428.4 +/- 874.8,116160.8 +/- 1078.8,117885.0 +/- 1293.2,119600.7 +/- 1518.4,121307.9 +/- 1754.3,123006.4 +/- 2001.2,124696.1 +/- 2259.3,126376.8 +/- 2528.5,128048.4 +/- 2809.1,129710.9 +/- 3101.2,131364.0 +/- 3404.9,133007.6 +/- 3720.3,134641.7 +/- 4047.4,136266.1 +/- 4386.4,137880.7 +/- 4737.3,139485.4 +/- 5100.1,141080.2 +/- 5475.1,142664.8 +/- 5862.0,144239.2 +/- 6261.2,145803.2 +/- 6672.4,147356.9 +/- 7095.9,148900.1 +/- 7531.6,150432.7 +/- 7979.5,151954.7 +/- 8439.6,153465.8 +/- 8911.9
FuoriLombardiaEmiliaVeneto,89913.0 +/- 0.0,91393.2 +/- 61.6,92867.3 +/- 110.4,94335.2 +/- 158.5,95796.7 +/- 206.5,97251.8 +/- 254.3,98700.4 +/- 301.9,100142.3 +/- 349.4,101577.4 +/- 396.7,103005.6 +/- 444.0,104426.8 +/- 491.1,105840.8 +/- 538.1,107247.7 +/- 584.9,108647.2 +/- 631.6,110039.3 +/- 678.1,111423.9 +/- 724.5,112800.9 +/- 770.7,114170.2 +/- 816.8,115531.6 +/- 862.7,116885.1 +/- 908.5,118230.7 +/- 954.1,119568.2 +/- 999.5,120897.5 +/- 1044.7,122218.6 +/- 1089.8,123531.4 +/- 1134.7,124835.7 +/- 1179.4,126131.6 +/- 1223.9,127419.0 +/- 1268.2,128697.7 +/- 1312.3,129967.7 +/- 1356.2
Lombardia,51860.0 +/- 0.0,52235.2 +/- 25.4,52607.8 +/- 42.8,52977.9 +/- 59.5,53345.3 +/- 76.1,53710.1 +/- 92.5,54072.2 +/- 108.8,54431.7 +/- 125.1,54788.5 +/- 141.3,55142.5 +/- 157.4,55493.9 +/- 173.5,55842.5 +/- 189.5,56188.4 +/- 205.5,56531.6 +/- 221.4,56872.0 +/- 237.2,57209.6 +/- 253.0,57544.4 +/- 268.7,57876.4 +/- 284.4,58205.6 +/- 300.0,58532.0 +/- 315.5,58855.5 +/- 331.0,59176.3 +/- 346.4,59494.2 +/- 361.8,59809.2 +/- 377.1,60121.4 +/- 392.3,60430.8 +/- 407.4,60737.3 +/- 422.5,61040.9 +/- 437.5,61341.6 +/- 452.5,61639.5 +/- 467.4
Piemonte,21609.0 +/- 0.0,21968.9 +/- 23.2,22327.4 +/- 37.7,22684.5 +/- 51.6,23040.0 +/- 65.1,23394.0 +/- 78.6,23746.5 +/- 91.9,24097.4 +/- 105.3,24446.7 +/- 118.5,24794.4 +/- 131.7,25140.4 +/- 144.9,25484.8 +/- 158.1,25827.4 +/- 171.2,26168.3 +/- 184.3,26507.4 +/- 197.4,26844.7 +/- 210.5,27180.3 +/- 223.5,27513.9 +/- 236.5,27845.8 +/- 249.4,28175.7 +/- 262.4,28503.8 +/- 275.3,28829.9 +/- 288.1,29154.1 +/- 301.0,29476.4 +/- 313.8,29796.6 +/- 326.5,30114.8 +/- 339.3,30431.1 +/- 352.0,30745.2 +/- 364.6,31057.3 +/- 377.2,31367.4 +/- 389.8
Centro,19755.0 +/- 0.0,20032.0 +/- 22.6,20307.6 +/- 38.5,20581.9 +/- 53.9,20854.9 +/- 69.1,21126.6 +/- 84.3,21396.8 +/- 99.4,21665.6 +/- 114.4,21933.0 +/- 129.3,22199.0 +/- 144.2,22463.5 +/- 159.0,22726.5 +/- 173.7,22988.0 +/- 188.4,23248.0 +/- 203.1,23506.5 +/- 217.6,23763.4 +/- 232.1,24018.8 +/- 246.6,24272.6 +/- 261.0,24524.8 +/- 275.3,24775.4 +/- 289.5,25024.3 +/- 303.7,25271.6 +/- 317.8,25517.3 +/- 331.9,25761.3 +/- 345.9,26003.6 +/- 359.8,26244.2 +/- 373.6,26483.1 +/- 387.4,26720.4 +/- 401.1,26955.8 +/- 414.7,27189.6 +/- 428.3
EmiliaRomagna,20513.0 +/- 0.0,20628.2 +/- 24.8,20735.9 +/- 47.2,20836.5 +/- 69.5,20930.1 +/- 91.6,21017.2 +/- 113.5,21098.1 +/- 135.1,21173.0 +/- 156.3,21242.3 +/- 177.1,21306.3 +/- 197.3,21365.3 +/- 217.0,21419.6 +/- 236.1,21469.5 +/- 254.6,21515.2 +/- 272.4,21557.0 +/- 289.5,21595.3 +/- 305.9,21630.1 +/- 321.6,21661.9 +/- 336.5,21690.7 +/- 350.6,21716.9 +/- 364.0,21740.6 +/- 376.7,21762.0 +/- 388.6,21781.3 +/- 399.8,21798.7 +/- 410.3,21814.4 +/- 420.1,21828.4 +/- 429.2,21841.0 +/- 437.7,21852.3 +/- 445.6,21862.3 +/- 452.9,21871.3 +/- 459.7
Veneto,15734.0 +/- 0.0,15890.3 +/- 62.7,16039.6 +/- 124.0,16181.8 +/- 185.2,16317.2 +/- 246.0,16445.9 +/- 306.4,16568.1 +/- 366.2,16683.9 +/- 425.3,16793.6 +/- 483.5,16897.4 +/- 540.9,16995.4 +/- 597.1,17087.8 +/- 652.2,17174.9 +/- 706.1,17256.8 +/- 758.7,17333.8 +/- 809.9,17406.0 +/- 859.7,17473.8 +/- 907.9,17537.1 +/- 954.6,17596.4 +/- 999.8,17651.8 +/- 1043.3,17703.4 +/- 1085.2,17751.5 +/- 1125.5,17796.2 +/- 1164.1,17837.8 +/- 1201.0,17876.4 +/- 1236.4,17912.2 +/- 1270.0,17945.3 +/- 1302.1,17976.0 +/- 1332.6,18004.3 +/- 1361.5,18030.4 +/- 1388.9
Sud,10976.0 +/- 0.0,11184.9 +/- 22.4,11393.6 +/- 39.9,11602.1 +/- 57.3,11810.2 +/- 74.6,12018.0 +/- 92.0,12225.5 +/- 109.4,12432.6 +/- 126.8,12639.3 +/- 144.3,12845.7 +/- 161.8,13051.6 +/- 179.4,13257.1 +/- 197.0,13462.2 +/- 214.6,13666.8 +/- 232.2,13870.8 +/- 249.9,14074.4 +/- 267.7,14277.5 +/- 285.4,14480.0 +/- 303.2,14681.9 +/- 321.0,14883.2 +/- 338.8,15083.9 +/- 356.7,15284.1 +/- 374.6,15483.5 +/- 392.5,15682.3 +/- 410.4,15880.5 +/- 428.3,16077.9 +/- 446.3,16274.6 +/- 464.2,16470.6 +/- 482.2,16665.9 +/- 500.1,16860.3 +/- 518.1
