place,5/23/20,5/24/20,5/25/20,5/26/20,5/27/20,5/28/20,5/29/20,5/30/20,5/31/20,6/1/20,6/2/20,6/3/20,6/4/20,6/5/20,6/6/20,6/7/20,6/8/20,6/9/20,6/10/20,6/11/20,6/12/20,6/13/20,6/14/20,6/15/20,6/16/20,6/17/20,6/18/20,6/19/20,6/20/20,6/21/20,6/22/20,6/23/20,6/24/20,6/25/20,6/26/20,6/27/20,6/28/20,6/29/20
Italia,0.0,124.0,246.9,377.4,515.7,661.9,816.0,977.8,1147.3,1324.3,1508.6,1699.9,1897.8,2102.1,2312.5,2528.4,2749.7,2975.7,3206.0,3440.3,3678.1,3918.9,4162.2,4407.5,4654.5,4902.5,5151.3,5400.3,5649.1,5897.2,6144.2,6389.8,6633.6,6875.1,7114.1,7350.1,7582.9,7812.3
Nord,0.0,153.1,310.6,477.0,652.7,837.8,1032.5,1237.1,1451.6,1676.3,1911.3,2156.8,2412.9,2679.7,2957.3,3245.8,3545.3,3856.0,4177.8,4510.9,4855.3,5211.0,5578.1,5956.6,6346.6,6747.9,7160.8,7585.0,8020.7,8467.7,8926.2,9395.9,9876.9,10369.1,10872.5,11386.9,11912.3,12448.7
FuoriLombardia,0.0,78.4,144.3,209.7,274.9,340.0,405.0,469.8,534.5,599.1,663.6,727.9,792.0,856.1,919.9,983.7,1047.2,1110.6,1173.8,1236.8,1299.6,1362.2,1424.7,1486.9,1548.9,1610.7,1672.3,1733.6,1794.7,1855.6,1916.2,1976.6,2036.7,2096.6,2156.2,2215.5,2274.6,2333.4
FuoriLombardiaEmiliaVeneto,0.0,67.5,123.1,178.2,233.1,287.9,342.6,397.1,451.6,506.0,560.3,614.5,668.5,722.4,776.2,829.9,883.5,936.9,990.2,1043.3,1096.2,1149.0,1201.7,1254.2,1306.5,1358.6,1410.6,1462.3,1513.9,1565.3,1616.4,1667.4,1718.2,1768.7,1819.0,1869.2,1919.0,1968.7
Lombardia,0.0,93.2,186.8,282.8,381.1,481.7,584.7,689.8,797.2,906.8,1018.6,1132.5,1248.5,1366.5,1486.5,1608.5,1732.5,1858.3,1986.0,2115.5,2246.7,2379.6,2514.1,2650.3,2788.0,2927.1,3067.8,3209.8,3353.1,3497.7,3643.5,3790.5,3938.6,4087.7,4237.9,4388.9,4540.8,4693.5
Piemonte,0.0,23.7,39.6,54.9,70.0,85.0,99.9,114.7,129.6,144.4,159.1,173.9,188.6,203.2,217.9,232.5,247.1,261.6,276.1,290.6,305.0,319.4,333.8,348.1,362.4,376.6,390.8,404.9,419.0,433.1,447.1,461.1,475.0,488.8,502.6,516.4,530.1,543.7
Centro,0.0,24.7,43.0,60.9,78.7,96.4,114.0,131.6,149.1,166.5,183.9,201.3,218.6,235.8,253.0,270.1,287.2,304.2,321.1,338.0,354.8,371.6,388.2,404.9,421.4,437.9,454.3,470.6,486.9,503.1,519.2,535.2,551.1,567.0,582.8,598.5,614.1,629.7
EmiliaRomagna,0.0,30.8,59.4,88.6,118.4,148.8,179.5,210.4,241.4,272.4,303.3,333.9,364.1,393.8,422.9,451.3,479.0,505.9,531.9,556.9,581.0,604.0,626.0,647.0,666.9,685.7,703.5,720.2,735.9,750.6,764.3,777.1,789.0,799.9,810.1,819.5,828.1,836.0
Veneto,0.0,27.1,50.9,75.9,102.2,129.8,158.5,188.3,219.2,251.1,283.9,317.6,352.0,387.0,422.6,458.6,495.0,531.7,568.6,605.5,642.4,679.3,715.9,752.3,788.4,824.0,859.2,893.8,927.8,961.1,993.7,1025.6,1056.6,1086.8,1116.1,1144.5,1172.0,1198.6
Sud,0.0,16.4,27.5,38.1,48.7,59.2,69.7,80.1,90.6,101.0,111.4,121.9,132.3,142.7,153.1,163.5,173.9,184.3,194.7,205.1,215.4,225.8,236.1,246.5,256.8,267.1,277.4,287.7,297.9,308.2,318.4,328.6,338.8,349.0,359.1,369.2,379.3,389.4
Toscana,0.0,37.6,72.7,109.2,147.3,187.1,228.5,271.8,316.8,363.8,412.7,463.7,516.8,572.0,629.5,689.4,751.6,816.3,883.6,953.6,1026.2,1101.7,1180.1,1261.5,1346.0,1433.7,1524.6,1619.0,1716.8,1818.1,1923.2,2032.1,2144.8,2261.5,2382.4,2507.5,2636.9,2770.7
Liguria,0.0,13.4,22.3,30.8,39.3,47.7,56.1,64.5,72.9,81.3,89.6,98.0,106.4,114.8,123.2,131.5,139.9,148.3,156.6,165.0,173.4,181.7,190.1,198.4,206.7,215.1,223.4,231.7,240.0,248.2,256.5,264.8,273.0,281.2,289.4,297.6,305.8,313.9
Lazio,0.0,17.7,33.5,49.4,65.3,81.3,97.3,113.3,129.4,145.6,161.7,178.0,194.2,210.5,226.8,243.2,259.6,276.0,292.4,308.9,325.4,341.9,358.4,375.0,391.5,408.1,424.7,441.3,457.9,474.5,491.1,507.7,524.3,541.0,557.6,574.2,590.8,607.3
Marche,0.0,28.0,52.5,74.8,94.4,110.9,124.4,134.9,142.8,148.6,152.6,155.3,157.1,158.2,158.9,159.3,159.5,159.7,159.7,159.8,159.8,159.8,159.8,159.8,159.8,159.8,159.8,159.8,159.8,159.8,159.8,159.8,159.8,159.8,159.8,159.8,159.8,159.8
Campania,0.0,22.3,45.3,69.9,95.9,123.2,151.5,180.7,210.6,241.0,271.7,302.5,333.2,363.6,393.7,423.1,451.8,479.7,506.7,532.6,557.4,581.0,603.4,624.6,644.5,663.1,680.5,696.7,711.6,725.3,738.0,749.5,760.0,769.6,778.2,786.0,792.9,799.2
Puglia,0.0,16.1,29.7,43.6,58.0,72.8,88.0,103.7,119.9,136.7,153.9,171.7,190.0,208.9,228.4,248.4,269.1,290.4,312.4,335.0,358.3,382.3,406.9,432.4,458.5,485.5,513.2,541.7,571.1,601.3,632.3,664.2,697.1,730.8,765.5,801.1,837.8,875.4
Trento,0.0,14.5,27.8,41.6,55.7,70.1,84.8,99.7,114.8,130.0,145.2,160.5,175.7,190.8,205.8,220.6,235.2,249.6,263.6,277.4,290.8,303.8,316.5,328.7,340.6,352.0,362.9,373.4,383.5,393.1,402.3,411.0,419.2,427.0,434.4,441.4,448.0,454.1
Sicilia,0.0,5.4,9.0,12.5,16.0,19.5,23.0,26.4,29.9,33.3,36.8,40.2,43.7,47.1,50.5,54.0,57.4,60.8,64.3,67.7,71.1,74.5,78.0,81.4,84.8,88.2,91.6,94.9,98.3,101.7,105.1,108.4,111.8,115.1,118.4,121.8,125.1,128.4
FriuliVeneziaGiulia,0.0,9.7,18.4,27.3,36.4,45.7,55.1,64.7,74.3,84.0,93.8,103.6,113.4,123.2,132.9,142.5,152.1,161.6,170.9,180.1,189.2,198.1,206.8,215.3,223.6,231.7,239.6,247.3,254.7,261.9,268.8,275.5,282.0,288.2,294.2,299.9,305.4,310.6
Abruzzo,0.0,3.4,5.2,6.5,7.3,7.9,8.2,8.5,8.6,8.7,8.8,8.9,8.9,9.0,9.0,9.1,9.2,9.2,9.3,9.3,9.4,9.4,9.5,9.5,9.6,9.6,9.7,9.7,9.8,9.8,9.9,9.9,10.0,10.0,10.1,10.1,10.2,10.2
Bolzano,0.0,8.9,17.1,25.3,33.5,41.5,49.4,57.1,64.5,71.6,78.5,85.0,91.1,96.9,102.3,107.3,111.9,116.2,120.1,123.7,126.9,129.8,132.4,134.8,136.9,138.7,140.4,141.8,143.0,144.1,145.1,145.9,146.6,147.2,147.7,148.2,148.5,148.9
Umbria,0.0,1.9,3.1,4.1,5.0,5.7,6.4,7.0,7.5,8.0,8.4,8.8,9.1,9.3,9.6,9.7,9.9,10.1,10.2,10.3,10.4,10.5,10.6,10.7,10.8,10.8,10.9,10.9,11.0,11.1,11.1,11.2,11.2,11.3,11.3,11.3,11.4,11.4
Sardegna,0.0,31.0,61.8,92.7,123.6,154.5,185.5,216.5,247.5,278.3,309.1,339.7,370.1,400.2,429.9,459.3,488.2,516.6,544.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Valled'Aosta,0.0,2.7,4.7,6.5,7.9,9.2,10.3,11.2,11.9,12.5,13.0,13.4,13.7,14.0,14.2,14.3,14.5,14.6,14.7,14.8,14.8,14.9,14.9,15.0,15.0,15.1,15.1,15.1,15.2,15.2,15.2,15.3,15.3,15.3,15.4,15.4,15.4,15.5
Calabria,0.0,6.8,11.4,15.8,20.2,24.6,28.9,33.3,37.6,41.9,46.2,50.5,54.8,59.1,63.4,67.6,71.9,76.1,80.3,84.5,88.8,93.0,97.3,101.7,106.4,111.5,117.1,123.5,131.0,139.7,150.0,162.1,176.3,192.6,211.2,232.3,255.9,282.0
Molise,0.0,7.2,13.9,20.7,27.7,35.0,42.4,50.1,58.0,66.1,74.4,83.0,91.8,100.9,110.2,119.8,129.7,139.8,150.2,160.9,171.9,183.2,194.8,206.7,219.0,231.5,244.5,257.7,271.3,285.3,299.6,314.4,329.5,345.0,360.9,377.2,394.0,411.1
Basilicata,0.0,3.7,6.5,9.2,11.9,14.6,17.3,20.0,22.7,25.4,28.2,30.9,33.6,36.4,39.2,41.9,44.7,47.5,50.3,53.1,55.9,58.7,61.5,64.3,67.2,70.0,72.8,75.7,78.5,81.4,84.2,87.1,89.9,92.8,95.7,98.5,101.4,104.3
