place,5/14/20,5/15/20,5/16/20,5/17/20,5/18/20,5/19/20,5/20/20,5/21/20,5/22/20,5/23/20,5/24/20,5/25/20,5/26/20,5/27/20,5/28/20,5/29/20,5/30/20,5/31/20,6/1/20,6/2/20,6/3/20,6/4/20,6/5/20,6/6/20,6/7/20,6/8/20,6/9/20,6/10/20,6/11/20,6/12/20,6/13/20,6/14/20,6/15/20,6/16/20,6/17/20,6/18/20,6/19/20,6/20/20,6/21/20,6/22/20,6/23/20,6/24/20,6/25/20,6/26/20,6/27/20,6/28/20,6/29/20
Italia,0.0,1.0,1.4,1.7,2.0,2.2,2.4,2.6,2.8,3.0,3.2,3.3,3.5,3.6,3.7,3.9,4.0,4.1,4.2,4.4,4.5,4.6,4.7,4.8,4.9,5.0,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.7,5.8,5.9,6.0,6.1,6.2,6.2,6.3,6.4,6.5,6.6,6.6,6.7,6.8
Nord,0.0,12.5,20.8,28.6,36.1,43.4,50.5,57.2,63.8,70.1,76.1,81.9,87.5,92.8,97.8,102.6,107.1,111.4,115.4,119.2,122.8,126.2,129.3,132.3,135.0,137.6,140.0,142.2,144.2,146.1,147.8,149.4,150.9,152.2,153.5,154.6,155.6,156.6,157.4,158.2,158.9,159.5,160.1,160.6,161.1,161.5,161.9
FuoriLombardia,0.0,11.4,18.4,24.9,31.2,37.3,43.3,49.2,55.0,60.6,66.1,71.4,76.5,81.5,86.4,91.0,95.5,99.8,104.0,107.9,111.7,115.3,118.7,122.0,125.0,128.0,130.7,133.3,135.7,138.0,140.2,142.2,144.1,145.9,147.5,149.0,150.4,151.7,153.0,154.1,155.1,156.1,157.0,157.8,158.5,159.2,159.8
FuoriLombardiaEmiliaVeneto,0.0,10.4,16.7,22.6,28.4,34.1,39.8,45.4,51.0,56.6,62.2,67.7,73.2,78.6,84.1,89.5,94.8,100.2,105.5,110.8,116.1,121.3,126.6,131.8,137.0,142.2,147.4,152.6,157.8,163.0,168.2,173.4,178.7,183.9,189.2,194.5,199.8,205.1,210.4,215.8,221.1,226.5,232.0,237.4,242.9,248.4,253.9
Lombardia,0.0,8.0,13.2,18.1,22.7,27.0,31.1,34.9,38.5,41.9,45.1,48.0,50.8,53.4,55.7,57.9,60.0,61.8,63.6,65.1,66.6,67.9,69.1,70.2,71.2,72.1,72.9,73.6,74.2,74.8,75.4,75.8,76.2,76.6,76.9,77.2,77.5,77.7,77.9,78.1,78.3,78.4,78.5,78.6,78.7,78.8,78.9
Piemonte,0.0,6.0,10.6,14.9,19.1,23.1,26.9,30.4,33.8,37.0,40.0,42.7,45.3,47.6,49.7,51.7,53.5,55.1,56.5,57.8,58.9,60.0,60.9,61.7,62.4,63.0,63.5,64.0,64.4,64.7,65.0,65.2,65.5,65.6,65.8,65.9,66.0,66.1,66.2,66.3,66.3,66.3,66.4,66.4,66.4,66.5,66.5
Centro,0.0,5.8,9.7,13.5,17.3,20.9,24.5,28.1,31.6,35.0,38.3,41.6,44.8,47.9,50.9,53.9,56.7,59.5,62.2,64.8,67.3,69.7,72.0,74.2,76.3,78.3,80.3,82.1,83.9,85.6,87.2,88.7,90.1,91.5,92.8,94.0,95.1,96.2,97.2,98.2,99.1,99.9,100.7,101.4,102.1,102.7,103.3
EmiliaRomagna,0.0,5.2,8.5,11.6,14.6,17.5,20.2,22.9,25.5,28.0,30.4,32.7,35.0,37.1,39.1,41.0,42.9,44.6,46.3,47.8,49.3,50.7,52.0,53.2,54.4,55.5,56.5,57.4,58.3,59.1,59.9,60.6,61.2,61.8,62.4,62.9,63.4,63.8,64.2,64.6,64.9,65.2,65.5,65.7,66.0,66.2,66.4
Veneto,0.0,6.1,10.9,15.8,20.6,25.5,30.5,35.4,40.4,45.4,50.3,55.3,60.2,65.1,69.9,74.8,79.5,84.2,88.8,93.4,97.8,102.2,106.5,110.7,114.8,118.8,122.6,126.4,130.1,133.6,137.1,140.4,143.6,146.7,149.7,152.6,155.3,158.0,160.5,162.9,165.2,167.4,169.6,171.6,173.5,175.3,177.0
Sud,0.0,3.1,5.3,7.3,9.2,11.0,12.6,14.2,15.7,17.1,18.3,19.5,20.6,21.6,22.6,23.4,24.2,24.9,25.6,26.2,26.7,27.2,27.6,28.0,28.4,28.7,29.0,29.2,29.5,29.7,29.9,30.0,30.2,30.3,30.4,30.5,30.6,30.7,30.8,30.8,30.9,30.9,31.0,31.0,31.0,31.1,31.1
