place,5/17/20,5/18/20,5/19/20,5/20/20,5/21/20,5/22/20,5/23/20,5/24/20,5/25/20,5/26/20,5/27/20,5/28/20,5/29/20,5/30/20,5/31/20,6/1/20,6/2/20,6/3/20,6/4/20,6/5/20,6/6/20,6/7/20,6/8/20,6/9/20,6/10/20,6/11/20,6/12/20,6/13/20,6/14/20,6/15/20,6/16/20,6/17/20,6/18/20,6/19/20,6/20/20,6/21/20,6/22/20,6/23/20,6/24/20,6/25/20,6/26/20,6/27/20,6/28/20,6/29/20
Italia,0.0,42.9,76.8,109.3,140.6,170.6,199.4,227.0,253.4,278.5,302.4,325.1,346.6,367.0,386.2,404.4,421.4,437.4,452.4,466.4,479.5,491.7,503.0,513.6,523.3,532.3,540.7,548.3,555.4,561.9,567.8,573.3,578.2,582.8,586.9,590.7,594.1,597.2,600.0,602.5,604.7,606.8,608.6,610.3
Nord,0.0,46.9,87.0,126.0,164.1,201.3,237.3,272.3,306.2,338.9,370.5,400.8,429.9,457.9,484.6,510.1,534.4,557.5,579.5,600.3,620.0,638.6,656.1,672.6,688.2,702.7,716.3,729.1,741.0,752.1,762.4,772.0,780.9,789.1,796.8,803.8,810.3,816.3,821.7,826.8,831.4,835.6,839.5,843.0
FuoriLombardia,0.0,21.5,34.3,46.0,57.0,67.3,77.0,86.3,95.0,103.1,110.8,118.1,124.8,131.1,137.0,142.5,147.5,152.2,156.5,160.5,164.2,167.5,170.6,173.4,175.9,178.2,180.3,182.2,183.9,185.5,186.9,188.1,189.2,190.2,191.1,191.9,192.6,193.2,193.8,194.2,194.7,195.0,195.4,195.7
FuoriLombardiaEmiliaVeneto,0.0,20.6,32.9,44.1,54.6,64.6,74.1,83.1,91.6,99.7,107.3,114.5,121.2,127.6,133.5,139.0,144.1,148.9,153.3,157.4,161.2,164.7,167.9,170.8,173.5,176.0,178.2,180.2,182.1,183.8,185.3,186.6,187.9,189.0,190.0,190.8,191.6,192.3,193.0,193.5,194.0,194.4,194.8,195.2
Lombardia,0.0,35.6,66.4,96.8,126.7,156.2,185.2,213.7,241.6,269.0,295.6,321.6,347.0,371.6,395.5,418.6,441.0,462.6,483.4,503.5,522.8,541.4,559.2,576.2,592.4,608.0,622.8,636.9,650.3,663.1,675.2,686.6,697.4,707.7,717.3,726.4,735.0,743.0,750.6,757.7,764.3,770.6,776.4,781.8
Piemonte,0.0,13.9,24.1,34.1,43.7,53.1,62.2,71.0,79.4,87.5,95.2,102.5,109.4,115.9,122.1,127.8,133.1,138.1,142.7,146.9,150.8,154.4,157.7,160.7,163.4,165.9,168.1,170.1,171.9,173.6,175.0,176.3,177.5,178.5,179.4,180.2,180.9,181.5,182.0,182.5,182.9,183.3,183.6,183.8
Centro,0.0,9.1,14.5,19.4,23.9,28.2,32.3,36.1,39.8,43.2,46.4,49.4,52.2,54.9,57.3,59.6,61.8,63.8,65.6,67.3,68.9,70.3,71.6,72.8,73.9,75.0,75.9,76.7,77.5,78.2,78.8,79.4,79.9,80.3,80.7,81.1,81.4,81.7,82.0,82.2,82.4,82.6,82.8,82.9
EmiliaRomagna,0.0,7.3,11.3,14.8,18.0,20.9,23.6,26.1,28.4,30.5,32.4,34.2,35.8,37.3,38.6,39.8,40.9,41.9,42.8,43.6,44.3,45.0,45.5,46.0,46.5,46.9,47.3,47.6,47.8,48.1,48.3,48.5,48.7,48.8,48.9,49.0,49.1,49.2,49.3,49.4,49.4,49.5,49.5,49.6
Veneto,0.0,5.6,8.7,11.5,14.0,16.3,18.4,20.4,22.1,23.8,25.2,26.6,27.8,28.9,29.9,30.9,31.7,32.4,33.1,33.7,34.2,34.6,35.1,35.4,35.7,36.0,36.3,36.5,36.7,36.9,37.0,37.2,37.3,37.4,37.5,37.5,37.6,37.7,37.7,37.8,37.8,37.8,37.9,37.9
Sud,0.0,5.3,8.3,11.0,13.4,15.6,17.6,19.4,21.1,22.6,24.0,25.3,26.4,27.4,28.3,29.1,29.8,30.5,31.0,31.5,32.0,32.4,32.7,33.0,33.3,33.5,33.7,33.9,34.1,34.2,34.3,34.4,34.5,34.6,34.7,34.7,34.8,34.8,34.9,34.9,34.9,35.0,35.0,35.0
Toscana,0.0,4.1,6.4,8.4,10.3,12.0,13.5,15.0,16.3,17.5,18.6,19.6,20.5,21.3,22.1,22.8,23.4,23.9,24.4,24.9,25.3,25.7,26.0,26.3,26.5,26.7,26.9,27.1,27.3,27.4,27.5,27.7,27.8,27.8,27.9,28.0,28.0,28.1,28.2,28.2,28.2,28.3,28.3,28.3
Liguria,0.0,8.5,14.3,19.7,25.1,30.3,35.5,40.5,45.5,50.3,55.0,59.5,64.0,68.3,72.4,76.5,80.3,84.1,87.6,91.1,94.4,97.5,100.5,103.4,106.1,108.7,111.2,113.5,115.7,117.8,119.8,121.6,123.3,125.0,126.5,127.9,129.3,130.5,131.7,132.8,133.8,134.7,135.6,136.4
Lazio,0.0,5.4,8.7,11.7,14.6,17.2,19.7,22.1,24.4,26.5,28.5,30.4,32.1,33.8,35.3,36.8,38.1,39.3,40.5,41.5,42.5,43.4,44.2,45.0,45.7,46.3,46.9,47.4,47.9,48.4,48.8,49.1,49.4,49.7,50.0,50.2,50.4,50.6,50.8,51.0,51.1,51.2,51.3,51.4
Marche,0.0,3.3,5.2,7.0,8.5,10.0,11.3,12.5,13.6,14.7,15.6,16.5,17.2,17.9,18.6,19.2,19.7,20.2,20.6,21.0,21.3,21.7,21.9,22.2,22.4,22.6,22.8,23.0,23.1,23.2,23.3,23.4,23.5,23.6,23.7,23.8,23.8,23.9,23.9,24.0,24.0,24.1,24.1,24.1
Campania,0.0,2.0,3.0,3.9,4.7,5.3,5.9,6.4,6.8,7.2,7.5,7.8,8.1,8.3,8.5,8.7,8.8,9.0,9.1,9.2,9.3,9.4,9.4,9.5,9.6,9.7,9.7,9.8,9.8,9.9,9.9,10.0,10.1,10.1,10.2,10.2,10.3,10.3,10.4,10.4,10.5,10.5,10.5,10.6
Puglia,0.0,3.5,5.7,7.7,9.5,11.2,12.8,14.3,15.6,16.8,18.0,19.0,20.0,20.8,21.6,22.3,23.0,23.5,24.1,24.5,25.0,25.3,25.7,26.0,26.3,26.5,26.7,26.9,27.1,27.2,27.3,27.5,27.6,27.7,27.7,27.8,27.9,27.9,28.0,28.0,28.1,28.1,28.2,28.2
Trento,0.0,2.3,3.8,5.0,6.2,7.2,8.1,8.8,9.5,10.1,10.6,11.0,11.4,11.7,12.0,12.2,12.4,12.6,12.7,12.8,12.9,13.0,13.1,13.1,13.2,13.2,13.2,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3
Sicilia,0.0,2.8,4.4,5.8,7.1,8.2,9.3,10.3,11.2,12.0,12.8,13.5,14.1,14.7,15.2,15.7,16.1,16.5,16.8,17.1,17.4,17.7,17.9,18.1,18.3,18.4,18.6,18.7,18.8,18.9,19.0,19.1,19.2,19.2,19.3,19.3,19.4,19.4,19.5,19.5,19.6,19.6,19.6,19.7
FriuliVeneziaGiulia,0.0,2.2,3.4,4.6,5.6,6.5,7.3,8.0,8.7,9.3,9.8,10.3,10.7,11.1,11.4,11.7,12.0,12.2,12.4,12.6,12.8,12.9,13.1,13.2,13.3,13.4,13.5,13.5,13.6,13.7,13.7,13.8,13.9,13.9,14.0,14.0,14.0,14.1,14.1,14.2,14.2,14.2,14.3,14.3
